stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1555,N1555,Morrison at Eastmore,EASTMORE RD & MORRISON RD,30.031936,-90.006743,,,,,0
1556,N1556,Morrison at Sheffield,SHEFFIELD ST & BAMBERRY ST,30.030906,-90.009685,,,,,0
1557,N1557,Morrison at Martin Drive,MORRISON RD & MARTIN DR,30.029969,-90.012394,,,,,0
1558,N1558,Morrison at Pole #52256,MORRISON RD & NEWCASTLE ST,30.029333,-90.014255,,,,,0
1559,N1559,Morrison at Newcastle,MORRISON RD & MARTIN DR,30.028719,-90.016277,,,,,0
1560,N1560,Morrison at I-10 off Ramp,BRIDGEHAMPTON DR & CULPEPPER DR,30.02794,-90.019051,,,,,0
1561,N1561,Morrison at Foch,MORRISON RD & SOUTHAMPTON DR,30.027416,-90.020801,,,,,0
1562,N1562,Morrison at Alabama,MORRISON RD & ALABAMA ST,30.026566,-90.023661,,,,,0
1563,N1563,Downman at Dorothea,DOWNMAN RD & LEWIS RD,30.025257,-90.024266,,,,,0
1564,N1564,Downman at 7100 Downman,DOWNMAN RD & LEWIS RD,30.023602,-90.023672,,,,,0
1565,N1565,Downman at Pines,DOWNMAN RD & LEWIS RD,30.022186,-90.023153,,,,,0
1566,N1566,Downman at Babylon,DOWNMAN RD & BABYLON ST,30.019997,-90.022361,,,,,0
1567,N1567,Downman at Dwyer,DOWNMAN RD & BABYLON ST,30.018586,-90.021836,,,,,0
1568,N1568,Downman at Dreux,DOWNMAN RD & DREUX AVE,30.016292,-90.0216,,,,,0
1569,N1569,Downman at Filmore,DOWNMAN RD & DENNY ST,30.014387,-90.021412,,,,,0
1570,N1570,Downman at Selma,DOWNMAN RD & ALOST ST,30.012418,-90.021239,,,,,0
1571,N1571,Downman at Chef Highway,DOWNMAN RD & CHEF MENTEUR HWY,30.010096,-90.020993,,,,,0
1574,N1574,Downman at Chef Highway,DOWNMAN RD & MONROE ST,30.010331,-90.020829,,,,,0
1575,N1575,Downman at Selma,SELMA ST & DOWNMAN RD,30.012361,-90.020957,,,,,0
1576,N1576,Downman at Fillmore,FILMORE AVE & DOWNMAN RD,30.014271,-90.02114,,,,,0
1577,N1577,Downman at Dreux,DREUX AVE & DEANNE ST,30.016133,-90.021389,,,,,0
1578,N1578,Downman at Dwyer,DWYER RD & BABYLON ST,30.01824,-90.021569,,,,,0
1579,N1579,Downman at Babylon,BABYLON ST & DEANNE ST,30.019908,-90.02209,,,,,0
1580,N1580,Downman at Pines Blvd,Downman Road & Pines Blvd,30.022017,-90.022858,,,,,0
1581,N1581,Downman at 6957 Downman,DOWNMAN RD & DOROTHEA ST,30.02398,-90.023584,,,,,0
1582,N1582,Downman at Morrison,MORRISON RD & DOWNMAN RD,30.025901,-90.024261,,,,,0
1583,N1583,Morrison at Foch,,30.026987,-90.020798,,,,,0
1584,N1584,Morrison at 6360 Morrison,MORRISON RD & LA-3021,30.027527,-90.018124,,,,,0
1585,N1585,Morrison at New Castle,MORRISON RD & NEW CASTLE ST,30.028337,-90.01625,,,,,0
1586,N1586,Morrison at Kenilworth Mall,MORRISON RD & NEW CASTLE ST,30.028895,-90.014385,,,,,0
1587,N1587,Morrison at Martin Drive,MARTIN DR & PLEASANT VIEW LN,30.029538,-90.012532,,,,,0
1588,N1588,Morrison at Cove,,30.030856,-90.008582,,,,,0
1589,N1589,Morrison at Mayo,MAYO RD & MORRISON RD,30.032123,-90.005065,,,,,0
1590,N1590,Morrison at Lawrence Canal,MORRISON RD & MORRISON RD,30.032737,-90.003455,,,,,0
1591,N1591,Morrison at Lake Willow,MORRISON RD & LAKE WILLOW DR,30.033483,-90.001488,,,,,0
1593,N1593,Morrison at Crowder,CROWDER BLVD & LAKE WILLOW DR,30.035264,-89.996859,,,,,0
1594,N1594,Morrison at Benson Ct,MORRISON RD & CLARIDGE CT,30.036852,-89.99315,,,,,0
1595,N1595,Morrison at Burk,MORRISON RD & BURK RD,30.038328,-89.98972,,,,,0
1596,N1596,Morrison at Bundy,MORRISON RD & BUNDY RD,30.038922,-89.988342,,,,,0
1597,N1597,Morrison at Restgate,RESTGATE RD & MORRISON RD,30.044312,-89.976665,,,,,0
1598,N1598,Morrison at Wright,MORRISON RD & WRIGHT RD,30.046743,-89.972418,,,,,0
1599,N1599,Morrison at Finchley,MORRISON RD & FINCHLEY RD,30.047922,-89.970328,,,,,0
1600,N1600,Morrison at Camberley,MORRISON RD & CAMBERLY DR,30.048771,-89.968806,,,,,0
1601,N1601,Morrison at Beaconfield,MORRISON RD & BEACONFIELD DR,30.049994,-89.966877,,,,,0
1602,N1602,Morrison at Bullard,MORRISON RD & BULLARD AVE,30.050898,-89.965342,,,,,0
1611,N1611,Lake Forest at Read,LAKE FOREST BLVD & READ BLVD,30.033263,-89.972415,,,,,0
1612,N1612,Lake Forest at 1st Plaza Mall,UNNAMED ST & LAKE FOREST BLVD,30.031151,-89.975653,,,,,0
1613,N1613,Lake Forest at 2nd Plaza Mall,LAKE FOREST BLVD & READ BLVD,30.030459,-89.97758,,,,,0
1617,N1617,Lake Forest at Village de Jardin,LAKE FOREST BLVD & CINDY PL,30.028456,-89.987274,,,,,0
1618,N1618,Lake Forest at Crowder,CROWDER BLVD & LAKE FOREST BLVD,30.027276,-89.991772,,,,,0
1619,N1619,Lake Forest at Wentworth,UNNAMED ST & LAKE FOREST BLVD,30.025703,-89.995302,,,,,0
1620,N1620,Lake Forest at Samovar,LAKE FOREST BLVD & LAKE FOREST BLVD,30.024675,-89.997611,,,,,0
1621,N1621,Lake Forest at Mayo,LAKE FOREST BLVD & MAYO BLVD,30.023969,-90.000586,,,,,0
1622,N1622,Mayo at Dwyer,MAYO BLVD & DWYER RD,30.022349,-89.999975,,,,,0
1623,N1623,Dwyer at Lonely Oaks,DWYER RD & LONELY OAK DR,30.02191,-90.001716,,,,,0
1624,N1624,Dwyer at Camelia,DWYER RD & CAMELIA CT,30.021665,-90.00433,,,,,0
1625,N1625,Dwyer at Chantilly,DWYER RD & WESTLAKE DR,30.021533,-90.00572,,,,,0
1626,N1626,Dwyer at Westlake,DWYER RD & SAINT CHARLES RD,30.021174,-90.009547,,,,,0
1627,N1627,Dwyer at Basinview,DWYER RD & BASINVIEW DR,30.020826,-90.013043,,,,,0
1628,N1628,Dwyer at E. Hermes,DWYER RD & E HERMES ST,30.020295,-90.01497,,,,,0
1629,N1629,Dwyer at Foch,DWYER RD & FOCH RD,30.019571,-90.01782,,,,,0
1630,N1630,Dwyer at Babylon,DWYER RD & BABYLON ST,30.019149,-90.019602,,,,,0
1631,N1631,Dwyer at Downman,DWYER RD & BABYLON ST,30.018586,-90.021552,,,,,0
1632,N1632,Dwyer at Shalimar,DWYER RD & FOCH RD,30.019354,-90.018026,,,,,0
1633,N1633,Dwyer at Lynhuber,DWYER RD & MAJESTIC OAKS DR,30.020032,-90.015342,,,,,0
1634,N1634,Dwyer at Ray,DWYER RD & BASINVIEW DR,30.020664,-90.013021,,,,,0
1635,N1635,Dwyer at America,DWYER RD & DALE ST,30.020984,-90.009889,,,,,0
1636,N1636,Dwyer at Chantilly,DWYER RD & WESTLAKE DR,30.021371,-90.005698,,,,,0
1637,N1637,Dwyer at Camelia,DWYER RD & CAMELIA CT,30.021484,-90.004505,,,,,0
